id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<2000~2002 Peoples R China count>	weight<2010~2012 Peoples R China count>	weight<2017~2019 Peoples R China count>	weight<2000~2002 USA count>	weight<2010~2012 USA count>	weight<2017~2019 USA count>	score<USA ratio for 2000~2002>	score<USA ratio for 2010~2012>	score<USA ratio for 2017~2019>	weight<default>
Optics	-0.9014	-0.3907	3	253	31.5298	2926	17113	33807	9281	13892	14063	0.760301466371754	0.448056765037897	0.293774806768331	10
Ornithology	-0.3684	0.1664	4	253	18.8616	21	81	170	1081	1240	1247	0.980943738656987	0.938682816048448	0.880028228652082	10
Orthopedics	0.2704	0.7472	2	253	23.4738	146	1517	3602	6720	10697	15704	0.978735799592193	0.875798264286884	0.813425877965399	10
Otorhinolaryngology	0.2159	0.6471	2	253	25.3599	160	697	1218	4241	5241	6973	0.963644626221313	0.882620410912765	0.851300207544866	10
Paleontology	-0.4743	-0.017	4	253	25.4	156	484	1417	1117	1888	2152	0.87745483110762	0.795952782462057	0.602970019613337	10
Parasitology	-0.1934	0.499	7	253	35.836	152	904	1846	1737	3981	4973	0.919534145050291	0.814943705220061	0.729285819035049	10
Pathology	-0.0318	0.728	2	253	53.3532	241	1529	5233	6510	8069	7442	0.964301584950378	0.840695978328819	0.587140039447732	10
Pediatrics	0.3358	0.6579	2	253	47.3283	278	1230	2102	10682	16923	22454	0.97463503649635	0.932242604528177	0.914399739371233	10
Peripheral Vascular Disease	0.1684	0.7464	2	253	48.3785	239	1612	3578	9826	11344	10634	0.97625434674615	0.875578882371102	0.748240923163524	10
Pharmacology & Pharmacy	-0.1466	0.5804	2	253	64.6608	1958	12518	33068	21696	28854	30356	0.917223302612666	0.697428212317509	0.478620080726539	10
Philosophy	0.9119	-0.3693	1	253	14.3939	38	285	690	3355	4938	5500	0.988800471559092	0.945433658816772	0.888529886914378	10
Physics, Applied	-1.0265	-0.3585	3	253	44.2643	7335	31669	76303	25525	34708	34512	0.776780279975654	0.522891965590491	0.311437982222623	10
Physics, Atomic, Molecular & Chemical	-1.0151	-0.1848	3	253	43.3752	2155	6240	10788	10786	12475	11749	0.833475001931845	0.666577611541544	0.521320495185695	10
Physics, Condensed Matter	-1.0545	-0.324	3	253	43.706	4840	15922	32970	14643	16463	16452	0.751578299029924	0.508352632391539	0.332888187446886	10
Physics, Fluids & Plasmas	-0.915	-0.3968	3	253	30.1017	661	3341	6248	5711	7004	7740	0.896264908976773	0.677042049299178	0.553331426937375	10
Physics, Mathematical	-0.7453	-0.4532	3	253	35.4241	1454	4560	7258	5363	6614	6750	0.786709696347367	0.591909790585287	0.481867504283267	10
Physics, Multidisciplinary	-0.911	-0.3629	3	253	39.8773	6124	18281	19003	9408	11668	11021	0.605717228946691	0.389595645931417	0.367073008260059	10
Physics, Nuclear	-0.9956	-0.4564	3	253	15.747	1638	3010	3887	6060	4918	4461	0.787217459080281	0.620332996972755	0.534379492093915	10
Physics, Particles & Fields	-0.9765	-0.4797	3	253	12.5026	1722	3931	6230	8647	9476	10230	0.833928054778667	0.706794957857835	0.621506682867558	10
Physiology	-0.0561	0.524	2	253	66.5245	265	2019	7574	12438	12101	10710	0.979138786113517	0.857011331444759	0.585758039816233	10
Plant Sciences	-0.5397	0.3556	4	253	33.9261	2196	9103	19568	10040	11796	14603	0.820529584831644	0.564428920044021	0.427350677475052	10
Poetry	1.3093	-0.4714	1	253	14.0021	1	1	0	267	229	210	0.996268656716418	0.995652173913044	1	10
Political Science	0.9663	-0.431	1	253	24.64	49	146	429	4909	7052	8484	0.990116982654296	0.979716587941095	0.951868057892965	10
Polymer Science	-1.0469	-0.0949	3	253	25.6412	3560	12702	21960	6261	7204	7991	0.637511455045311	0.361900934391641	0.266802443991853	10
Primary Health Care	0.4608	0.6424	2	253	55.0601	5	28	74	1229	1470	1612	0.995948136142626	0.981308411214953	0.956109134045077	10
Psychiatry	0.5999	0.381	5	253	40.9447	175	1218	4222	12418	19040	24615	0.986103390772652	0.939875604699378	0.85359087283698	10
Psychology	0.4997	0.2579	5	253	57.81	94	421	1115	5881	7783	8868	0.984267782426778	0.948683568990736	0.888310127216268	10
Psychology, Applied	0.6975	-0.1036	5	253	35.3279	105	302	764	3704	5024	5523	0.972433709635075	0.943297033420954	0.878479401940512	10
Psychology, Biological	0.2629	0.2542	5	253	55.6342	11	136	296	1414	2032	2312	0.992280701754386	0.937269372693727	0.886503067484663	10
Psychology, Clinical	0.7434	0.2568	5	253	36.9894	67	226	641	7636	10647	13752	0.991302090094768	0.97921456819645	0.955464461891197	10
Psychology, Developmental	0.7246	0.1716	5	253	34.5252	86	223	685	4324	7551	10377	0.980498866213152	0.971314638538719	0.938076297233773	10
Psychology, Educational	0.8268	-0.0079	5	253	27.6503	43	203	433	2275	2949	4025	0.981449525452977	0.935596446700508	0.902871242709735	10
Psychology, Experimental	0.517	0.0955	5	253	39.3956	84	506	1428	5067	8098	9736	0.983692486895748	0.941190144119014	0.872088857040487	10
Psychology, Mathematical	0.4725	-0.0594	5	253	37.005	22	47	111	755	970	1148	0.971685971685972	0.953785644051131	0.911834789515489	10
Psychology, Multidisciplinary	0.6674	0.0756	5	253	52.9341	133	444	2310	5853	8361	11008	0.977781490143668	0.949574105621806	0.82655053311308	10
Psychology, Psychoanalysis	0.8254	0.1688	5	253	8.8739	2	1	3	869	640	709	0.997703788748565	0.998439937597504	0.995786516853933	10
Psychology, Social	0.8131	-0.0261	5	253	27.8569	107	385	909	3904	5624	6068	0.973323360757916	0.935929439174572	0.869714777124839	10
Public Administration	0.7771	-0.3888	1	253	31.9098	24	164	324	1052	1684	1804	0.977695167286245	0.911255411255411	0.847744360902256	10
Public, Environmental & Occupational Health	0.4003	0.4116	2	253	58.8996	546	2604	7805	15460	29959	41917	0.965887792077971	0.920031938089242	0.843027231406621	10
Quantum Science & Technology	-0.9312	-0.4083	3	253	42.7471	159	723	1636	1070	1087	1177	0.870626525630594	0.600552486187845	0.418414504088162	10
Radiology, Nuclear Medicine & Medical Imaging	0.0081	0.5417	2	253	27.6248	483	3404	8143	12468	19649	22423	0.962705582580496	0.852340259402247	0.733592880978866	10
Regional & Urban Planning	0.512	-0.3882	1	253	46.4466	49	277	1051	847	1263	1912	0.9453125	0.82012987012987	0.645291933850827	10
Rehabilitation	0.5151	0.4309	5	253	42.4019	139	414	968	5283	7980	9713	0.974363703430468	0.950679056468906	0.909371781668383	10
Religion	1.0526	-0.341	1	253	14.1323	8	122	282	2121	3380	4480	0.996242367308596	0.96516276413478	0.940781184376313	10
Remote Sensing	-0.5729	-0.3223	4	253	35.8351	152	1419	8969	1434	2527	4762	0.904161412358134	0.640395337050177	0.346806496249363	10
Reproductive Biology	-0.099	0.6252	2	253	40.2509	227	1017	2074	3185	3681	3208	0.933470105509965	0.783524904214559	0.60734570238546	10
Respiratory System	0.2004	0.7393	2	253	44.1399	179	1185	3732	7029	8963	10752	0.975166481687014	0.883228222309815	0.742336371168186	10
Rheumatology	0.1947	0.6995	2	253	23.8165	46	674	1471	2134	3551	3896	0.978899082568807	0.840473372781065	0.725917644866779	10
Robotics	-0.4963	-0.4888	6	253	29.0328	136	693	2186	705	1025	1894	0.838287752675386	0.59662398137369	0.46421568627451	10
Social Issues	0.749	-0.0914	1	253	65.7133	20	58	140	1482	1719	1958	0.986684420772304	0.967360720315138	0.933269780743565	10
Social Sciences, Biomedical	0.5658	0.2895	2	253	68.4677	48	202	364	1772	3786	5097	0.973626373626374	0.949348044132397	0.933345541109687	10
Social Sciences, Interdisciplinary	0.7467	-0.1549	1	253	68.4288	54	315	1045	3111	4945	6177	0.982938388625593	0.940114068441065	0.855303240099696	10
Social Sciences, Mathematical Methods	0.4963	-0.4426	1	253	38.3573	73	296	765	1589	2697	2886	0.956077015643803	0.901102572669562	0.790468364831553	10
Social Work	0.8094	0.0888	5	253	34.5248	61	140	412	1993	3090	4167	0.970301850048686	0.956656346749226	0.910024022712383	10
Sociology	0.9223	-0.2897	1	253	36.6994	74	252	531	4253	5744	7132	0.982898081811879	0.957971981320881	0.930705989821219	10
Soil Science	-0.5845	0.0837	4	253	22.3176	258	1782	4372	2223	2315	2831	0.896009673518742	0.565047595801806	0.393030681660419	10
Spectroscopy	-0.8996	-0.0262	3	253	49.2105	1451	4688	6257	3479	3665	3417	0.705679513184584	0.438764515742847	0.353214802563572	10
Sport Sciences	0.3551	0.5292	2	253	26.5399	93	545	946	6835	9120	12011	0.986576212471132	0.943610967408174	0.926989272208073	10
Statistics & Probability	-0.0541	-0.357	6	253	20.4815	744	2521	4935	5773	9109	10566	0.885837041583551	0.78323301805675	0.681633443003677	10
Substance Abuse	0.5548	0.3692	5	253	43.3564	22	209	338	3351	5522	7467	0.993477616365253	0.963531669865643	0.956694426649584	10
Surgery	0.2252	0.8133	2	253	34.2473	856	5501	10340	22884	32979	41409	0.963942712721146	0.85704261954262	0.800189375640109	10
Telecommunications	-0.6003	-0.6425	6	253	29.618	532	6335	36393	4829	7210	11461	0.900764782689797	0.532299741602067	0.239499310402474	10
Theater	1.1788	-0.4079	1	253	13.4356	1	7	22	535	594	576	0.998134328358209	0.988352745424293	0.963210702341137	10
Thermodynamics	-0.9327	-0.3601	3	253	39.7939	921	4278	17906	3334	3946	5851	0.783548766157462	0.479815175097276	0.246285305383676	10
Toxicology	-0.2351	0.4337	7	253	65.004	432	3275	7626	8642	9227	8656	0.952391448093454	0.738041913293873	0.531630020881956	10
Transplantation	0.1238	0.7971	2	253	46.8761	165	909	1035	4162	4913	5156	0.961867344580541	0.84386808656819	0.832821838152156	10
Transportation	0.24	-0.3612	1	253	37.3788	72	460	2194	826	3589	4808	0.919821826280624	0.88639170165473	0.686660954013139	10
Transportation Science & Technology	-0.2846	-0.5303	6	253	38.1444	167	1062	5463	2540	3898	5467	0.938308090136683	0.785887096774194	0.500182982616651	10
Tropical Medicine	0.0797	0.5087	2	253	54.9423	79	430	1076	677	2119	3381	0.895502645502645	0.831306394664574	0.75858200583352	10
Urban Studies	0.6371	-0.3887	1	253	38.17	56	292	1210	1670	2146	3010	0.967555040556199	0.880229696472519	0.713270142180095	10
Urology & Nephrology	0.1496	0.8025	2	253	24.9876	252	1698	3158	7857	11267	11776	0.968923418423973	0.869032009255688	0.788536226061337	10
Veterinary Sciences	-0.2168	0.5727	7	253	20.1993	131	2345	4761	8943	9838	10714	0.985563147454265	0.80751867356152	0.692342487883683	10
Virology	-0.2411	0.5434	7	253	40.5402	218	2350	3685	6037	8449	7463	0.965147881694644	0.782387258079452	0.669447434517402	10
Water Resources	-0.5821	-0.1577	4	253	40.512	673	4457	12928	4687	7084	10322	0.874440298507463	0.613811628108483	0.443956989247312	10
Women's Studies	0.9013	-0.1057	1	253	50.695	24	66	121	1662	2435	2680	0.98576512455516	0.973610555777689	0.956801142449125	10
Zoology	-0.3216	0.2823	4	253	34.0587	324	2361	4217	8032	10294	10192	0.961225466730493	0.813433425523509	0.707335692969672	10
