id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<2000~2002 Peoples R China count>	weight<2010~2012 Peoples R China count>	weight<2017~2019 Peoples R China count>	weight<2000~2002 USA count>	weight<2010~2012 USA count>	weight<2017~2019 USA count>	score<USA ratio for 2000~2002>	score<USA ratio for 2010~2012>	score<USA ratio for 2017~2019>	weight<default>
Development Studies	0.6843	-0.4185	1	253	42.0415	43	198	570	973	1560	2050	0.957677165354331	0.887372013651877	0.782442748091603	10
Developmental Biology	-0.2376	0.4925	7	253	54.7178	148	637	1205	5398	5614	4484	0.973314100252434	0.898096304591265	0.788187730708385	10
Ecology	-0.4028	0.1292	4	253	41.926	382	2870	6908	11526	18293	22626	0.967920725562647	0.864385956622407	0.76610008803413	10
Economics	0.6514	-0.4961	1	253	31.737	473	2469	7071	11913	18800	21627	0.961811722912966	0.883915557854154	0.753606523102655	10
Education & Educational Research	0.8418	-0.1647	1	253	21.4862	165	782	2651	6032	9478	13860	0.97337421332903	0.923781676413255	0.83944037308461	10
Education, Scientific Disciplines	0.0664	0.103	2	253	48.4518	63	149	451	3322	4966	6340	0.981388478581979	0.970869990224829	0.933588573111471	10
Education, Special	0.7537	0.1636	5	253	26.3752	18	74	127	1560	2275	2463	0.988593155893536	0.968497232865049	0.950965250965251	10
Electrochemistry	-1.0651	-0.1536	3	253	39.8915	725	8132	20418	2282	4797	5301	0.758895909544397	0.371026374816304	0.206112212760994	10
Emergency Medicine	0.381	0.7245	2	253	40.9431	28	301	437	2163	3735	4811	0.987220447284345	0.925421209117939	0.916730182926829	10
Endocrinology & Metabolism	0.0257	0.6595	2	253	47.271	435	3304	7505	12512	16653	16584	0.966401482969028	0.834444054717643	0.688447009008261	10
Energy & Fuels	-0.81	-0.3043	3	253	46.0953	737	10721	48635	3866	9312	18333	0.839887030197697	0.464833025507912	0.273757615577589	10
Engineering, Aerospace	-0.7557	-0.4816	3	253	20.3509	170	1196	5230	3204	2804	3378	0.949614700652045	0.701	0.392425650557621	10
Engineering, Biomedical	-0.2207	0.3093	2	253	60.1459	346	3267	8722	4465	9993	11566	0.9280814799418	0.753619909502262	0.570090694006309	10
Engineering, Chemical	-0.9549	-0.161	3	253	39.3315	2316	14171	42965	8075	9497	14715	0.777114810894043	0.401259083995268	0.255114424410541	10
Engineering, Civil	-0.651	-0.4298	3	253	32.4555	940	4177	21478	5543	9282	13326	0.855005398735153	0.689650048294821	0.382887024479945	10
Engineering, Electrical & Electronic	-0.6889	-0.6096	6	253	35.8075	4206	24153	89397	23514	27887	35298	0.848268398268398	0.535876249039201	0.283074702273547	10
Engineering, Environmental	-0.6809	-0.1013	4	253	46.3957	647	6360	21234	4494	6311	9644	0.874148998249368	0.49806645095099	0.312325927845068	10
Engineering, Geological	-0.7474	-0.3542	4	253	21.3917	242	933	5297	869	1346	2364	0.782178217821782	0.590609916630101	0.308575903928991	10
Engineering, Industrial	-0.1531	-0.459	6	253	42.9001	673	1503	4726	2732	3026	3900	0.802349486049927	0.668138661956282	0.452121493160213	10
Engineering, Manufacturing	-0.6705	-0.5023	3	253	41.1178	893	2223	8433	2307	2580	3904	0.7209375	0.537164272329794	0.31644646186269	10
Engineering, Marine	-0.6762	-0.4566	3	253	33.9928	20	191	1956	152	255	425	0.883720930232558	0.571748878923767	0.178496430071399	10
Engineering, Mechanical	-0.8697	-0.4764	3	253	34.5871	1840	7234	28340	7370	8403	10885	0.800217155266015	0.537379292703204	0.277501593371574	10
Engineering, Multidisciplinary	-0.636	-0.4765	6	253	62.6895	961	5754	17770	4082	4369	6573	0.809438826095578	0.431591425466759	0.27001602103274	10
Engineering, Ocean	-0.669	-0.3521	4	253	35.1623	192	410	2202	892	895	1091	0.822878228782288	0.685823754789272	0.331308836926814	10
Engineering, Petroleum	-0.8733	-0.2621	3	253	32.2859	106	931	2865	1311	994	1576	0.925194071983063	0.516363636363636	0.354875028146814	10
Entomology	-0.4119	0.3103	4	253	21.2725	245	1666	3081	5222	5616	5794	0.955185659411011	0.771216698709146	0.652845070422535	10
Environmental Sciences	-0.467	-0.0362	4	253	49.5042	1917	14831	59612	15571	25824	41615	0.89038197621226	0.635198622555651	0.411105732660259	10
Environmental Studies	0.28	-0.3192	1	253	56.1749	105	906	8310	2142	4850	9353	0.953271028037383	0.842599027102154	0.529524995753836	10
Ergonomics	0.2794	-0.1111	5	253	53.4543	63	185	542	663	1053	1411	0.913223140495868	0.850565428109855	0.722478238607271	10
Ethics	0.6715	-0.0882	1	253	52.9238	22	102	260	1682	2448	2763	0.987089201877934	0.96	0.913992722461131	10
Ethnic Studies	0.9811	-0.23	1	253	46.3296	1	10	29	355	934	1412	0.997191011235955	0.989406779661017	0.979875086745316	10
Evolutionary Biology	-0.3401	0.2618	4	253	53.7485	137	1117	1959	4043	6888	8186	0.967224880382775	0.860462211118051	0.806899950714638	10
Family Studies	0.8438	0.0762	5	253	41.8123	29	96	384	2418	4038	5730	0.988148753575807	0.97677793904209	0.937193326790972	10
Film, Radio, Television	1.1266	-0.3901	1	253	14.6822	6	16	31	597	647	727	0.990049751243781	0.975867269984917	0.95910290237467	10
Fisheries	-0.4202	0.2291	4	253	23.4279	135	1493	4321	2883	3573	3904	0.955268389662028	0.705290169759179	0.474650455927052	10
Folklore	1.0308	-0.3496	1	253	14.4724	1	2	15	155	154	170	0.993589743589744	0.987179487179487	0.918918918918919	10
Food Science & Technology	-0.508	0.3527	7	253	30.1801	340	6540	20970	6095	8650	10855	0.947163947163947	0.569453587886768	0.341084053417125	10
Forestry	-0.4601	0.0664	4	253	24.5455	102	782	3231	2405	3262	4366	0.959313921021141	0.806627101879327	0.574700539686718	10
Gastroenterology & Hepatology	0.0947	0.7748	2	253	31.5316	871	3608	5092	6504	9395	10875	0.881898305084746	0.722525571022072	0.681092252771341	10
Genetics & Heredity	-0.259	0.4791	7	253	60.4493	731	5755	15292	17254	21733	21796	0.959355018070614	0.790635913853318	0.587683347713546	10
Geochemistry & Geophysics	-0.6968	-0.2198	4	253	24.0652	793	3525	9701	6281	8315	10000	0.887899349731411	0.702280405405405	0.50758844728694	10
Geography	0.5106	-0.3474	1	253	32.1426	70	385	1147	1285	2515	3307	0.948339483394834	0.867241379310345	0.742478670857656	10
Geography, Physical	-0.4669	-0.1453	4	253	43.2251	233	1473	5408	1831	3707	5071	0.887112403100775	0.715637065637066	0.483920221395171	10
Geology	-0.6354	-0.1653	4	253	26.0701	390	1356	2809	1392	1449	1738	0.781144781144781	0.516577540106952	0.382230041785793	10
Geosciences, Multidisciplinary	-0.6234	-0.1989	4	253	35.6159	1471	6669	20540	9230	13629	18931	0.862536211569012	0.671445462607153	0.479617947353753	10
Geriatrics & Gerontology	0.2785	0.5332	2	253	70.2777	48	548	2733	3175	5058	6603	0.985107043127521	0.902247591865858	0.707262210796915	10
Gerontology	0.5744	0.3822	5	253	47.7691	47	166	524	2959	3512	4671	0.984364604125083	0.954866775421425	0.899133782483157	10
Green & Sustainable Science & Technology	-0.4995	-0.2609	3	253	61.2607	61	1307	16664	94	1477	6806	0.606451612903226	0.530531609195402	0.289987217724755	10
Health Care Sciences & Services	0.4555	0.4821	2	253	60.1719	86	424	2093	6334	10629	16063	0.986604361370716	0.961639373925631	0.884721304252038	10
Health Policy & Services	0.5374	0.379	2	253	59.5827	42	233	698	4321	7444	10540	0.990373596149438	0.969649602709392	0.937889304146645	10
Hematology	-0.0138	0.737	2	253	40.1184	321	1754	3040	9222	12235	12608	0.966362779000314	0.874615769533205	0.805725971370143	10
History	1.1388	-0.4425	1	253	22.4663	22	154	277	4053	4947	5582	0.994601226993865	0.969809841207606	0.952722307561017	10
History & Philosophy Of Science	0.4311	-0.1903	1	253	36.1455	8	42	107	1280	2038	2289	0.993788819875776	0.979807692307692	0.95534223706177	10
History Of Social Sciences	0.8902	-0.4068	1	253	44.8277	5	24	53	574	851	807	0.991364421416235	0.972571428571429	0.938372093023256	10
Horticulture	-0.5628	0.3379	4	253	24.3502	203	1236	2483	2013	2214	2258	0.908393501805054	0.641739130434783	0.476270828939042	10
Hospitality, Leisure, Sport & Tourism	0.7091	-0.3018	1	253	32.6114	24	399	1304	563	1706	3132	0.959114139693356	0.810451306413302	0.706041478809739	10
Humanities, Multidisciplinary	1.065	-0.3863	1	253	41.4353	6	48	216	1883	2907	3166	0.996823716251985	0.983756345177665	0.936132465996452	10
Imaging Science & Photographic Technology	-0.5673	-0.4081	6	253	43.1744	177	1420	6932	1687	2561	3581	0.905042918454936	0.643305702084903	0.340625891753068	10
Immunology	-0.1155	0.6519	2	253	51.6326	517	5172	13517	22924	23800	26667	0.977944626935711	0.821482810989921	0.663622337248656	10
Industrial Relations & Labor	0.7577	-0.4073	1	253	33.9492	18	57	168	923	779	857	0.980871413390011	0.931818181818182	0.83609756097561	10
Infectious Diseases	0.0856	0.6067	2	253	52.9509	191	1740	4214	9486	12889	16656	0.980262478040715	0.881058172123863	0.798083373263057	10
Information Science & Library Science	0.3521	-0.2491	1	253	24.8667	132	611	1616	3771	4126	4711	0.966179861644889	0.871015410597425	0.744586691955113	10
Instruments & Instrumentation	-0.8254	-0.3973	3	253	54.0558	1060	5710	23394	6022	8223	9677	0.850324767014967	0.590181583291466	0.292612863233649	10
Integrative & Complementary Medicine	0.0125	0.5601	2	253	73.2439	142	2394	4353	504	1248	1295	0.780185758513932	0.342668863261944	0.229284702549575	10
International Relations	0.857	-0.4127	1	253	25.5074	52	249	712	2003	3057	3781	0.974695863746959	0.924682395644283	0.841531270865791	10
Language & Linguistics	1.0469	-0.3147	1	253	17.261	39	394	1029	1518	2876	3303	0.97495183044316	0.879510703363914	0.762465373961219	10
Law	0.8495	-0.2647	1	253	13.103	31	294	493	5906	6936	7300	0.994778507663803	0.959336099585062	0.93673809829334	10
Limnology	-0.5355	0.0051	4	253	42.35	56	784	1196	1624	2140	2341	0.966666666666667	0.73187414500684	0.661860333616059	10
Linguistics	0.9084	-0.197	1	253	20.8971	77	518	1423	2550	4456	5882	0.970688998858013	0.895858464012867	0.805201916495551	10
Literary Reviews	1.0991	-0.3923	1	253	32.0636	5	6	12	672	840	806	0.99261447562777	0.99290780141844	0.985330073349633	10
Literary Theory & Criticism	1.228	-0.442	1	253	29.0708	0	9	33	725	858	926	1	0.98961937716263	0.965589155370177	10
Literature	1.2599	-0.4455	1	253	24.9959	24	468	472	3586	3826	3918	0.993351800554017	0.891010712622264	0.89248291571754	10
Literature, African, Australian, Canadian	1.2593	-0.4531	1	253	20.6583	2	2	1	212	158	105	0.990654205607477	0.9875	0.990566037735849	10
Literature, American	1.2637	-0.4601	1	253	17.8604	0	3	2	561	845	838	1	0.996462264150943	0.997619047619048	10
Literature, British Isles	1.2911	-0.4614	1	253	17.8693	2	4	7	439	554	489	0.99546485260771	0.992831541218638	0.985887096774194	10
Literature, German, Dutch, Scandinavian	1.2227	-0.4343	1	253	16.5261	1	1	19	259	293	231	0.996153846153846	0.996598639455782	0.924	10
Literature, Romance	1.2386	-0.4386	1	253	17.0813	0	4	17	1335	1344	1370	1	0.997032640949555	0.987743330930065	10
Literature, Slavic	1.1879	-0.4293	1	253	17.9451	0	0	3	71	90	157	1	1	0.98125	10
Logic	-0.1799	-0.625	6	253	18.2206	20	61	125	435	553	623	0.956043956043956	0.900651465798046	0.832887700534759	10
Management	0.5321	-0.4477	1	253	31.8634	444	1725	4299	5777	9030	10987	0.928628837807426	0.839609483960948	0.718762266125867	10
